recall: 79.368030, precision: 64.210526, f_1 measure: 70.989194
recall: 100.000000, precision: 59.107807, f_1 measure: 74.299065
recall: 48.437500, precision: 6.480836, f_1 measure: 11.432084
recall: 100.000000, precision: 52.569170, f_1 measure: 68.911917
recall: 100.000000, precision: 67.425968, f_1 measure: 80.544218
recall: 96.477273, precision: 60.816619, f_1 measure: 74.604569
recall: 75.354108, precision: 58.461538, f_1 measure: 65.841584
recall: 34.343434, precision: 97.142857, f_1 measure: 50.746269
recall: 59.756098, precision: 61.250000, f_1 measure: 60.493827
recall: 56.250000, precision: 7.443609, f_1 measure: 13.147410
recall: 48.115942, precision: 11.029900, f_1 measure: 17.945946
recall: 43.776824, precision: 12.142857, f_1 measure: 19.012116
recall: 71.548117, precision: 40.714286, f_1 measure: 51.896813
recall: 100.000000, precision: 20.584416, f_1 measure: 34.141088
recall: 25.686275, precision: 11.341991, f_1 measure: 15.735736
recall: 48.299320, precision: 17.750000, f_1 measure: 25.959781
recall: 95.652174, precision: 31.428571, f_1 measure: 47.311828
recall: 46.875000, precision: 11.688312, f_1 measure: 18.711019
recall: 100.000000, precision: 53.623188, f_1 measure: 69.811321
recall: 97.068063, precision: 64.599303, f_1 measure: 77.573222
recall: 100.000000, precision: 70.036101, f_1 measure: 82.377919
recall: 72.469636, precision: 70.541872, f_1 measure: 71.492761
recall: 77.701149, precision: 64.380952, f_1 measure: 70.416667
recall: 40.114613, precision: 100.000000, f_1 measure: 57.259714
recall: 70.384615, precision: 13.203463, f_1 measure: 22.235723
recall: 52.083333, precision: 8.571429, f_1 measure: 14.720314
recall: 100.000000, precision: 18.448980, f_1 measure: 31.150930
recall: 71.929825, precision: 10.649351, f_1 measure: 18.552036
recall: 61.603376, precision: 8.690476, f_1 measure: 15.232134
recall: 45.031056, precision: 9.006211, f_1 measure: 15.010352
recall: 41.079812, precision: 11.627907, f_1 measure: 18.125324
recall: 62.081784, precision: 10.151976, f_1 measure: 17.450366
recall: 51.282051, precision: 10.989011, f_1 measure: 18.099548
recall: 100.000000, precision: 49.251870, f_1 measure: 65.998329
recall: 99.717514, precision: 70.459082, f_1 measure: 82.573099
recall: 96.875000, precision: 63.024142, f_1 measure: 76.366436
recall: 48.034188, precision: 61.758242, f_1 measure: 54.038462
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 63.425664, precision: 64.114286, f_1 measure: 63.768116
recall: 71.052632, precision: 14.464286, f_1 measure: 24.035608
recall: 53.260870, precision: 15.135135, f_1 measure: 23.571858
recall: 70.526316, precision: 9.337979, f_1 measure: 16.492308
recall: 100.000000, precision: 48.793566, f_1 measure: 65.585586
recall: 66.066066, precision: 20.276498, f_1 measure: 31.029619
recall: 25.116279, precision: 51.428571, f_1 measure: 33.750000
recall: 80.701754, precision: 60.659341, f_1 measure: 69.259724
recall: 55.250404, precision: 22.207792, f_1 measure: 31.681334
recall: 48.322148, precision: 7.346939, f_1 measure: 12.754650
recall: 100.000000, precision: 60.137795, f_1 measure: 75.107560
recall: 100.000000, precision: 46.507937, f_1 measure: 63.488624
recall: 100.000000, precision: 62.311558, f_1 measure: 76.780186
recall: 91.546162, precision: 73.811659, f_1 measure: 81.727905
recall: 87.346437, precision: 58.040816, f_1 measure: 69.740069
recall: 94.972067, precision: 73.275862, f_1 measure: 82.725061
recall: 73.039216, precision: 11.686275, f_1 measure: 20.148749
recall: 77.570093, precision: 21.671018, f_1 measure: 33.877551
recall: 47.715736, precision: 9.947090, f_1 measure: 16.462347
recall: 40.331492, precision: 6.952381, f_1 measure: 11.860276
recall: 55.252918, precision: 16.136364, f_1 measure: 24.978012
recall: 47.241379, precision: 13.979592, f_1 measure: 21.574803
recall: 100.000000, precision: 19.495798, f_1 measure: 32.630098
recall: 61.258278, precision: 19.576720, f_1 measure: 29.671211
recall: 75.652174, precision: 15.535714, f_1 measure: 25.777778
recall: 100.000000, precision: 53.392330, f_1 measure: 69.615385
recall: 85.889571, precision: 63.157895, f_1 measure: 72.790295
recall: 100.000000, precision: 44.693878, f_1 measure: 61.777151
recall: 91.955836, precision: 79.319728, f_1 measure: 85.171658
recall: 91.228070, precision: 85.596708, f_1 measure: 88.322718
recall: 86.779661, precision: 68.571429, f_1 measure: 76.608479
recall: 48.175182, precision: 6.502463, f_1 measure: 11.458333
recall: 100.000000, precision: 3.571429, f_1 measure: 6.896552
recall: 98.437500, precision: 9.473684, f_1 measure: 17.283951
recall: 91.964286, precision: 8.174603, f_1 measure: 15.014577
recall: 31.465517, precision: 5.959184, f_1 measure: 10.020590
recall: 59.340659, precision: 18.514286, f_1 measure: 28.222997
recall: 100.000000, precision: 48.571429, f_1 measure: 65.384615
recall: 41.390728, precision: 12.315271, f_1 measure: 18.982536
recall: 88.429752, precision: 7.838828, f_1 measure: 14.401077
